発言ID,開催日,回次,発言順,発言者表記,発言者検索キー,発言本文,議事録URL
1,2025-06-30,第25回,1,総務課長,総務,それでは、ただいまより、第25回「社会保障審議会年金部会」を開催します。皆様、お忙しいところお集まりいただき、ありがとうございます。 まず、委員の御異動について報告いたします。 出口委員が御退任となりまして、御後任として、日本経済団体連合会社会保障委員会年金改革部会長の泉俊郎様に、新たに委員として御就任いただいております。 なお、本日、泉委員は御欠席でございます。 続いて、本日の委員の出欠状況を報告いたします。 先ほど申し上げましたように、本日は泉委員が御欠席でございます。 また、権丈委員、駒村委員、嵩委員は、オンラインで参加されています。 出席委員が３分の１を超えておりますので、会議は成立しています。 次に、資料を確認いたします。 傍聴者の方は厚生労働省のホームページから資料を御覧ください。 本日は資料１、２、３、４－１、４－２、また、参考資料を事務局で用意しております。 また、是枝委員から資料の提出がございます。 なお、本日、備えつけのマイクに不具合がございまして、御発言いただく際は、ハンドマイクをお回しいたしますので、そちらから御発言いただくようにお願いいたします。 事務局からは以上です。 以降の進行は、菊池部会長にお願いいたします。,https://www.mhlw.go.jp/stf/newpage_20250707.html
2,2025-06-30,第25回,2,菊池部会長,菊池,皆様、おはようございます。 本日も大変お忙しいところ、お集まりいただきまして、どうもありがとうございます。約半年ぶりの開催となります。 カメラの方は、ここで御退室をお願いいたします。おられませんね。 それでは、早速議事に入らせていただきます。 本日は「社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律について（報告）」。それから「社会保障審議会年金数理部会の公的年金財政状況報告について（報告）」。いずれも報告ということで、以上２点を議題といたします。 年金制度改革につきましては、本部会において委員の皆様から御議論いただきまして、昨年12月末に議論の整理を行ったところでございます。御協力ありがとうございました。 その後、御案内のとおり、厚生労働省で社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案を５月16日に国会に提出し、紆余曲折ございましたが、国会での審議を経て、衆議院で修正の上、無事６月13日に成立し、６月20日に公布されたところでございます。 本日は、この法律について事務局から御報告いただき、その後、委員の皆様から御意見を頂戴したいと思ってございます。 それでは、議題１にまとめて事務局から御報告をお願いします。,https://www.mhlw.go.jp/stf/newpage_20250707.html
3,2025-06-30,第25回,3,年金課長,年金,年金課長でございます。よろしくお願いいたします。 私の方からは、議題１に関連して資料１の御説明をします。資料１を御覧ください。 まず、表紙は先ほど御紹介があった成立した法律の名称でして、その概要が２ページになります。年金部会で御議論いただいたものをベースに法案化して、与党のプロセス、国会審議を経て成立したものです。 概要となっており、真ん中辺りのＩ番とIII番が公的年金関係、それから年金部会ではなく企個部会で議論頂いた私的年金の見直しがII番で入っております。 黒い部分と赤い部分がありますが、黒い部分は内閣の閣法として提出した部分で、皆様も御案内の項目が入っています。 赤い部分を先にこの資料で御説明すると、これは衆議院による修正で盛り込まれたものでして、いわゆる基礎年金の給付水準の底上げというものです。修正で盛り込まれた条文を、ほぼそのままこの赤い部分で記載しています。 ２つに分かれており、冒頭は「政府は」となっており、次期財政検証、これは2029年になりますが、ここで基礎年金と厚生年金の調整期間の見通しに著しい差異があって、基礎年金の給付水準の低下が見込まれる場合には、３行目ですけれども、２つのスライドを同時に終了させるための法制上の措置を講ずるものとしています。また、この場合においては、給付と負担の均衡が取れた制度にするとなっており、基礎年金の水準が上がるということは給付が上がりますので負担との均衡を図るという規定も入っています。 それから②ですが、その措置を講ずる場合においてということで、１行目の後半から２行目辺りですが、基礎年金と厚生年金の額が、①の措置を講じなかった場合と比べて下回る場合には、その影響を緩和するための措置を講ずるというものです。 これは、マクロ経済スライドの終了期間を一致させる場合には、当面は厚生年金のマクロ経済スライドが継続されるので、それによって給付額が下がることを念頭に置いて、その影響を緩和する措置を講ずるという規定です。 この両者が衆議院の修正として入りまして、参議院でもそのまま賛成多数で成立しております。 それから施行期日が一番下に入っており、これは各項目で御紹介してまいります。 ３ページを御覧ください。 各項目のうち、まずは被用者保険の適用拡大です。左側が短時間労働者の要件、右側は個人事業所の非適用業種の解消です。 拡大の方向性については、年金部会からもいただきましたが、その具体化として、左側の短時間労働者について、賃金要件については、最低賃金の状況を見極めて公布から３年以内の政令で定める日で撤廃することとしています。 それから、企業規模要件については、左の下の赤で囲っておりますスケジュール、施行期日によって撤廃をすることを法律に盛り込んでいます。 それから、右側の個人事業所についても見直しの方向性をいただいておりましたが、具体的には、常時５人以上の場合、今は法定業種というのがございますが、これをなくして適用にすることで赤い箱で囲っています。 ただ、吹き出し部分にあるとおり、施行日について2029年10月とした上で、経過措置として、施行時に現に存在する事業所については当面適用除外という規定もございます。 それから、右の真ん中ですが、就業調整を減らすための保険料調整という仕組みを入れています。 こちらは、年金部会では、労使が任意で負担割合を変更できるという形で議論いただきました。それについては様々な御意見があったところで、その後、調整を重ねて最終的な法律に盛り込んだのがこの形になります。 事業主が労使折半を超えて多めに保険料を負担するという構造になっておりまして、表にあるとおり、標準報酬の月額に応じて、例えば8.8万円ですと、労働者の負担割合が本来は労使折半50％であるところ25％に軽減すると、こういう措置になっております。その分、事業主に多くを負担いただく仕組みになりますが、その部分については制度的に支援するということで保険料をお戻しするという仕組みです。 これは３年間の特例的、時限的な措置として法律に盛り込んでおり、利用される事業者の方に手を挙げていただいて、簡便な方法で利用いただける仕組みとなっています。 続いて、４ページ、在職老齢年金制度です。 こちらも見直しの方向性は部会のほうからいただいておりましたが、具体的な額として、左側の赤で囲っているとおり、現在の数字を62万円に引き上げます。年金部会では３案を御提案していましたが、そのうちの62万円の引上げになります。 これは、50代の平均的な賃金と平均的な厚生年金の額を念頭に置いて設定した数字になります。 こちらは来年４月の施行となっており、右にあるとおり、法改正で新たに20万人の方が老齢厚生年金の受給が可能になると見込んでおります。 続いて、遺族年金の見直しです。５ページです。 遺族厚生年金については左側、遺族基礎年金については右側でして、年金部会の議論でいただいたものを条文化した形で措置しています。 遺族厚生年金の見直しについては、現在、20代から50代でお子さんがいらっしゃらない場合の男女差というものを解消して、原則５年の有期給付とし、ただし、低所得あるいは配慮が必要な方については、65歳までの給付を継続します。 それから、有期給付の加算措置や、死亡分割を盛り込んでおり、左の下の赤字で書いた部分が配慮措置として今回改正に盛り込んでいます。 また、中高齢寡婦加算という寡婦のみを対象とした加算については、25年かけて段階的な縮小を盛り込んでいます。 遺族基礎年金、右側になりますが、現在、生計を維持する場合には子に対する遺族基礎年金は支給停止となっています。これについて部会でも御議論いただき、今回は支給停止措置を廃止して、新たに支給するということで盛り込んでおります。 国会では、今回の改正の影響を受けない方についての確認する議論などもありまして、５ページ右の下では、既に受給権を有する方あるいは御高齢の方、18歳未満のお子さんがいる場合のその期間中の給付など、今回の改正の影響を受けない方について記載しています。改正項目というよりは、改正しない項目になります。 続いて、６ページ、標準報酬の上限の段階的引上げです。 こちらも見直しの方向性をいただいていましたが、具体的な額として、赤で囲っていますが、今回改正では現在の上限65万円を75万円に引き上げることとしています。 ただ、一度に引き上げるのではなくて、段階的な実施を予定しており、施行時期は※で書いていますが、２年後の2027年９月に68万円、以降１年ごとに71万円、75万円と引き上げることとしています。 それから、赤で囲っているのは、保険料あるいは給付の変化を記載しています。 右の方は現在の分布で、厚生年金では上限等級65万円の方が9.6％、男女計では6.5％となっておりますが、この上限等級の追加ルールの見直しもしており、上限が４％を超えた場合には新たな等級を政令で追加できるという規定も盛り込んでいます。現在の、いわゆる２倍ルールというものを見直して、新たに４％ルールで今後運用していくことになります。 続いて、７ページと８ページは私的年金の見直しです。 こちらは、企個部会で御議論いただいた内容を法案に盛り込んでおり、７ページは、iDeCoの加入可能年齢の引上げで、70歳まで継続して加入できるという規定です。 ８ページは、企業年金の運用の見える化ということで、現在厚生労働省に提出頂いている情報には、公開されているものと、されていないものがございますが、一定の事項を公開することについて法律の措置を設けています。 続いて、９ページからは「その他事項」となり、最初は加算の見直しです。 こちらも方向性はいただいていましたが、具体的な金額が入りまして、９ページの左の上、子供に関わる加算については、現行、第２子と第３子と分かれているのを一律にした上で、24年度価格で年額28万1700円と、約２割の引上げとしています。 それから、左の下は配偶者に係る加給年金の見直しで、36万7200円と約１割の見直しとしています。ただ、既に受給されている方については維持します。 一方で、子供に関わる加算については、その時点から増額する予定で、施行日はともに2028年４月になります。 それから、10ページは脱退一時金の見直しで、こちらも議論いただいた内容を規定しており、見直し内容について２点を赤で書いておりますが、１つ目は再入国許可つきで出国した方について、その期間内は一時金を支給しないというもの。施行は公布から４年以内の政令で定める日としております。 それから、支給上限について５年から８年にするということで、政令で措置予定です。 11ページは、その他のやや細かい事項ですが、これも年金部会で議論をいただいた事項が入っております。 最初の①から③は、期限が切れる事項について延長するものです。 ①は、障害年金の、いわゆる直近１年要件を10年延長するものです。 ②の納付猶予制度については、部会で議論いただき、様々な御意見がありましたが、今回は５年の延長としており、次期改正においても議論いただくことにしています。 それから、高齢任意加入、これは65歳以上の方が特例的にできるものですが、10年分の期間を延長して利用できる方を増やしています。 それから④は厚生年金のマクロスライドについて措置するものです。真ん中に現行の仕組みがありますが、去年の財政検証によると、令和10年に厚生年金のマクロ経済スライドは終了する見込みになっています。 こちらについて、前回改正法附則の検討等を踏まえて、右のほうですが、この措置を２年間延長して、次期財政検証の翌年度、つまり令和12年度まで継続するものです。 ただし、これに伴って不利益をこうむる方がいらっしゃらないように配慮措置を設けておりまして、具体的には、マクロ経済スライドの調整率を本来の３分の１にするという規定を盛り込んでいます。 それから、⑤は離婚時分割の請求期限についてで、２年から５年、民法の改正に伴い延長することとしています。 それから、12ページの⑥では、遺族厚生年金の受給者の繰下げを許容する仕組みについてで、部会での議論を踏まえて繰下げを認める仕組みを措置しています。2028年４月の施行です。 それから、私的年金関係については時間の関係で省略しますが、３点改正項目を入れています。 13ページ、改正法の附則の検討規定です。これは、年金部会の「議論の整理」で今後の検討事項としていただいたものと共通しているものがあり、附則第２条として４つ規定しています。 第１項は、前回の改正法でも同じものが入っておりました。下の参考１に平成25年プログラム法というのがございますが、ここで検討すべき事項というのが４点挙げられておりまして、こちらについて引き続き検討を加えるというのが第１項です。 第２項は、適用拡大についてで、国民健康保険制度の在り方に留意しながら、被用者保険の適用範囲について引き続き検討を行うというものです。 第３項は、いわゆる基礎年金の拠出期間の45年化と言われるものです。被保険者期間の延長について検討を加え、その結果に基づいて必要な措置を講ずるという規定になります。 第４項は、第３号被保険者について、国民的議論が必要であるという認識のもと、実情に関する調査研究を行い、在り方について検討を行うとしています。この第３項、第４項辺りは、年金部会での「議論の整理」で引き続き検討が必要な事項とされたものと共通の事項です。 それから、国会審議の過程で附帯決議が付されています。その御紹介が14ページ以降となります。 14ページから、左側が衆議院の厚生労働委員会の附帯決議、右側が参議院の厚生労働委員会です。 各項目は私どもで振り分けた分類ですが、最初は被用者保険の適用拡大あるいは保険料調整制度についてです。 参議院は衆議院と同じ部分が多いので、衆議院のほうをご覧いただきますと、適用拡大については事務負担の軽減であるとか、周知広報に努めることといった話。 ２番目は、保険料調整制度について支援対象者の整理を行うこととなっています。 ３番目は、適用拡大についてさらに検討を深めること。雇用保険の見直しに触れてまして、時間要件の10時間への引下げ等々の検討を行うというものです。 それから遺族年金については、右側の参議院の４番を御覧いただくと、特に国会の議論では、今回見直しの対象になっていない方々から不安等々があるということがあり、しっかりと制度内容についての周知広報を行い、不安の解消に努めると、こういった指摘になります。 15ページは、障害年金についてで、５番目は、障害認定に際する様々な問題や等級の認定について検討する、特に医学モデルのみならず、社会モデルも踏まえて、といった指摘になります。 ６番目は、年金部会で議論いただいた、いわゆる「長期要件」あるいは「延長保護」といった厚生年金の被保険者資格の喪失後の保護について検討を行うというものです。 ７番目は、クローバック等、これは昔から議論としてございますが、高所得者については老齢基礎年金のうち国庫負担相当分の支給を停止するというものです。 ８番目は、今回の基礎年金の底上げ措置に伴う財源確保についての指摘です。 16ページに移って９番目は、先ほど御紹介した45年化の話と、３号制度についてです。 それから、その下は財政検証の関連で、経済等の前提について現実的かつ多様な前提の下で結果を示すことという指摘です。 その他は、細かいので割愛しますが、16ページの右側、参議院の15番目には、日本にある大使館で働くスタッフに対する適用について検討を行い、速やかに必要な措置を講ずるという指摘になっています。 以上、御紹介した内容で、法律として成立しており、私どもとしては、まずは、これらの施行日に向けて政省令事項などしっかりと準備を進めてまいります。また、周知広報についても指摘いただいておりますので取り組んでいく考えです。 資料１は以上になります。,https://www.mhlw.go.jp/stf/newpage_20250707.html
4,2025-06-30,第25回,4,数理課長,数理,数理課長でございます。 引き続き、私のほうから資料２の「制度改正案を反映した試算結果」について、御説明させていただきたいと思います。 こちらは、審議に先立ちまして、もう既にホームページのほうに公表しているものでありまして、したがいまして、衆議院の修正の内容については反映していないものになります。 具体的に言いますと、適用拡大、在職老齢年金の見直し、標準報酬月額の上限見直し、あと遺族年金の見直しについて反映すると、どういった試算結果になるかというものをお示ししているものであります。 表紙をめくりまして、２ページを御覧ください。 現行制度の結果については、昨年の財政検証で既にお示ししているというものでありますが、これについて、先ほど申しました政府案に入ってきた制度改正を反映していきますと、モデル年金の所得代替率で見ていただきますと、成長型ケースでありますと1.3％程度、過去30年投影ケースでありますと1.4％程度、所得代替率が上昇するという見通しになっているところであります。 それぞれ個別の制度改正の影響は、注２のほうに、少し小さい字で恐縮でありますが、記載させていただいております。 主に適用拡大の影響により所得代替率が上昇するという結果になっているものでありまして、適用拡大によって1.4％の上昇。 あと、在職老齢年金の見直しでマイナス0.2％、標準報酬月額上限の見直しでプラス0.2％と、その他の遺族年金の見直しなどによって0.0％といった影響になっているというところであります。 ページが飛びまして恐縮ですが、７ページを御覧いただきたいと思います。 今回の制度改正案の結果で、先ほど人口については、中位推計で結果を見ていただいたものでありますが、人口の前提が変化した場合、どういった影響があるかというものも試算しているものであります。 出生率については、2024年では1.15という実績が出ておりまして、中位推計の見通しよりも低位推計に近いという実績になっておりますが、もし、出生率が低位推計になるとどうなるかというものを示しております。 過去30年投影ケースでありますと、48.5％まで所得代替率が下がるという見通しであります。 ただ、足元の実績を確認いただきいただきますと、一番下にありますが、出生率は、前提を実績が下回っているというところでありますが、平均余命、こちらについては決していい話ではないのですけれども、前提ほど余命が伸びていないということで、年金財政から見たらプラスの効果があります。 また、外国人の入国超過は、実績が前提を上回っているということで、前提では毎年16.4万人ぐらい外国人の入国超過があるという見通しですが、直近の実績では34.2万人ということで倍ぐらいになっています。 出生率だけではなくて、死亡率や入国超過についても、年金財政に大きな影響があるというのは、この資料からも見て取れるというところでありますので、総合的に影響を見ていく必要があるのではないかと考えているところであります。 続いて、８ページを御覧ください。 昨年、財政検証で分布推計を新しく公表しましたが、この分布推計の結果が制度改正によってどうなるかというものを確認したものになります。 ８ページですと、女性でありますが、65歳の女性について見ますと、厚生年金に20年以上入っている方は、全体の37.7％ということでありますが、これが30歳の方で見ますと、女性については、労働参加が進んで、厚生年金の加入期間が長くなっていくことが見込まれますので、現行制度のままでも70％台まで上がっていくということでありますが、これが制度改正案になりますと、適用拡大がさらに進みますので、ピンクの厚生年金20年以上の方がさらに増加していくと。平均年金額についても、これに伴って上昇していくと、そういった結果が見られるというところであります。 続いて、９ページについては、男性についても同様の試算をしておりまして、こちらも同様の結果になっているところであります。 この後、分布推計等について詳細の資料を付しておりますが、説明については割愛させていただきたいと思います。 私からは以上であります。,https://www.mhlw.go.jp/stf/newpage_20250707.html
5,2025-06-30,第25回,5,総務課長,総務,続いて、資料３について説明いたします。２ページを御覧ください。 今回の制度改正について、しっかりと周知広報を行うようにということにつきましては、これまで、この年金部会でも繰り返し御指摘をいただいております。 また、国会の審議におきましても同様の御指摘を受けております。 それを受けまして厚生労働省では、法案を国会に提出した５月16日、あるいは法律が成立した６月13日以降随時、制度改正に関する情報発信を行っております。 ２ページで言いますと、左側のほうは、本日、資料１としてお配りをしている制度改正の概要資料でございます。こちらは、既にホームページでも公表されています。 また、右側のほうは、より一般の方にも分かりやすくということで、インフォグラフィックスを活用した制度改正の資料を作成しております。 こちらも、順次、公表しているところでございます。 次の３ページも同様に、分かりやすい資料の例となっております。 右側のほうを御覧いただきますと、国会の審議におきましても、例えば国民年金と基礎年金の違いがよく理解されていないのではないかと、その辺を混同した議論が多いのではないかといった御指摘が多数ございました。 それを受けまして、今回の資料の中では、加入するときの国民年金と受給するときの基礎年金を意識的に書き分けるような、そういう工夫も行っているところでございます。 続いて、４ページ、こちらはショート動画になります。適用拡大、在職老齢年金の見直し、標準報酬の上限の引上げなど、制度改正の項目ごとに、簡単な動画を作成いたしまして、こちらは本日から公表しております。 次に５ページです。 こちらは、厚生労働省の公式Ｘを活用した情報発信でございます。ここに出ておりますのは、６月３日、ちょうど法案の審議をしている最中でしたけれども、遺族年金の見直しに関しまして、ネット上などで様々な情報が流れていたと、中には一部不正確な情報もあったという中で、厚生労働省から正しい情報の発信を行った事例でございます。 内容といたしましては、今回の遺族厚生年金の見直しで、直接見直しの対象となる方はどのような方なのかということや、あるいは原則は５年の有期給付としつつ、必要に応じて継続給付などの配慮措置があるといったことを発信したものでございます。 次の６ページは、新しいものではなくて昨年の財政検証の際に公表した資料や動画となっております。 財政検証の結果、特に分布推計などについては、より広く国民に知っていただく必要があるという御指摘をいただいておりますので、こうしたものも引き続き活用しながら一層の周知広報に努めてまいります。 それから、７ページは、社会保険適用拡大特設サイトとなっております。 これは、前回の令和２年改正のときに作成したものでして、例えば、昨年の10月に企業規模要件を50人超に見直した際にも、チラシとか動画あるいは事業所向けの手引などを作成して公開したところでございます。 今回の制度改正でもさらなる適用拡大を行うことにしておりまして、その際には、これまで以上に小規模の事業所が対象になっておりますので、一層きめ細かな広報を行っていきたいと考えております。 また、適用拡大以外の改正項目につきましても、それぞれの施行日に向けて、改正の対象となるような方を中心とした広報を、しっかり実施をしていきたいと考えているところでございます。 あとは、資料の後ろは大部になりますけれども、今回作成したインフォグラフィックスを活用した分かりやすい資料を掲載しております。それぞれの項目ごとに分類をして、ホームページで公表しているところでございます。 私からは以上になります。,https://www.mhlw.go.jp/stf/newpage_20250707.html
6,2025-06-30,第25回,6,首席年金数理官,首席年金数理官,首席年金数理官でございます。 資料４－１、４－２により、説明をさせていただきます。 本年３月27日の社会保障審議会年金数理部会で、令和５年度の公的年金財政状況報告が取りまとめられまして、資料の４－１は、年金数理部会において令和５年度の公的年金財政状況報告として取りまとめた内容のうち、ポイントとなる点を取り上げたもので、資料４－２は、年金数理部会の役割や、もう少し細かい分析結果をまとめた概要となっています。 順番が逆になりますけれども、まず、資料４－２で年金数理部会の役割について説明をさせていただきます。 この資料の３ページを御覧ください。 ここでは、年金数理部会の役割を図示しておりますけれども、上側に公的年金各制度が行っていること、下側に年金数理部会が行うことをまとめております。 公的年金各制度では、少なくとも５年ごとに財政検証が行われ、その間には毎年度決算が行われるわけですが、年金数理部会では、まず、財政検証の後に、財政検証のピアレビューを実施しまして、財政検証の結果や手法の検証や今後の財政検証への提言といったことを行っております。 また、毎年度の決算の後には、財政状況の分析・評価を行いまして、公的年金財政状況報告を取りまとめておりまして、今回の御報告は、令和５年度の公的年金財政状況報告についてとなります。 そのポイントについては、資料４－１で説明をさせていただきます。 資料の１ページを御覧ください。 この報告は、年金数理部会が公的年金の毎年度の財政状況について、各制度、各実施機関からの報告に基づきまして、専門的な観点から横断的に分析・評価を行った結果を取りまとめたものでございます。 ポイントの１つ目は、令和５年度の公的年金の収支状況でございます。ここでは、共済組合等を含めた厚生年金全体の数値を厚生年金計として取りまとめておりまして、一番右の欄に公的年金制度全体の数字を示しています。 賦課方式を基本とする財政運営が行われていることを踏まえまして、運用損益を除いた単年度収支残と運用損益に分けて分析しております。令和５年度は、公的年金制度全体で見ると、運用損益分を除いた単年度収支残は0.1兆円のマイナス、運用損益は時価ベースで53.6兆円のプラスでした。 その結果、時価ベースの年度末積立金は前年度末から53.5兆円の増加となりまして、304兆円となっております。 裏面、２ページを御覧ください。 こちらは、ポイントの２つ目、公的年金の財政状況の評価でございます。 年金数理部会では、実績と財政検証の前提や将来見通しとの比較だけでなく、長期的な財政の均衡の観点から評価をしております。 評価の結果は、枠囲みの中にありますが、まず、国民年金第１号被保険者は、財政検証の見通しを下回り、厚生年金被保険者数は上回る状況が続いていること、令和５年度は高い運用収益となった結果、積立金の実績が将来見通しを上回っていること、令和５年度における65歳の平均余命は、平成29年将来推計における死亡高位の仮定値を下回っていることが確認されました。 また、令和５年度は、現行の年金額改定ルールが全て発動していることが確認されております。 一方で、令和元年以降の合計特殊出生率は、平成29年将来推計における出生中位の仮定値を下回る水準で推移しておりまして、令和５年は出生低位の仮定値を下回っていることや、実質賃金上昇率は、令和元年財政検証におけるいずれのケースの前提も下回っていることが確認されました。 これらの将来見通しからの乖離が一時的なものではなく中長期的に続いた場合には、年金財政に与える影響は大きなものとなりますが、いずれにせよ、年金財政の観点からは、人口要素や経済要素等について、いずれも短期的な動向にとらわれることなく、長期的な観点から財政状況の動向を注視すべきであるというのが結論になっております。 報告書では、より詳細な分析をしており、厚生労働省ホームページに掲載しておりますので、こちらも御覧いただければと思います。 御報告は以上となります。,https://www.mhlw.go.jp/stf/newpage_20250707.html
7,2025-06-30,第25回,7,菊池部会長,菊池,ありがとうございました。 それでは、委員の皆様から御意見等いただければと思いますが、本日は久しぶりの開催ということもあり、また、法案成立後でもあるということで、恐らく、皆様から何か御発言をいただけるのではないかと推察してございます。 そこで、よろしければ、手挙げ方式ではなく、順番にといいますか、お願いできればと。まず会場、そしてオンラインの皆様ということでお願いできればと思います。 いつも五十音順でお願いしているので、今日は、恐縮ですが、逆に百瀬委員から時計回りでということで、よろしければ、お願いできれば幸いでございます。 それでは、百瀬委員、よろしいでしょうか。,https://www.mhlw.go.jp/stf/newpage_20250707.html
8,2025-06-30,第25回,8,百瀬委員,百瀬,私からは、遺族年金と障害年金について意見を述べたいと思います。 まず、遺族年金についてです。今回の遺族年金の見直しについては、経過措置や配慮措置が多数組み込まれています。そのこと自体は適切だと思っておりますが、その結果として、やや複雑な構造になっています。 特に今回新たに導入される死亡時分割については、具体例を示さないと、理解することが難しいのではないかと思っております。 一方で今回の改正により、これまで遺族年金を受給できなかった方でも新たに受給できるようになるケースもございます。そうした点も含めて、改正法に関する広報について、引き続き力を入れていただきたいと思います。 また、制度面では、中長期的な課題として、遺族の収入要件について改めて御検討いただきたいと思っております。 具体的には、子供のいる配偶者で収入要件を超えている場合の取扱いについてです。 改正法では、子供のいる配偶者で収入要件を超えている場合について、他のケースに比べて著しく不利にならないような調整が行われます。 ただし、その調整方法というのが少し複雑になっています。制度をシンプルにするという観点から収入要件そのものを見直すことができないか、御検討いただきたいと思います。 最後に障害年金についてです。昨年の第15回の年金部会におきまして、障害認定の基準とその認定方法について検討してほしいということを発言いたしました。今回、改正法の附帯決議には障害認定に関する内容が含まれております。 一方で、年金制度全般について取り扱う年金部会は、そのような議論をする場としては適切ではありません。附帯決議を尊重して、障害年金の障害認定について、実務家や当事者を中心に議論する場をつくっていただきたいと思っております。 私からは以上です。,https://www.mhlw.go.jp/stf/newpage_20250707.html
9,2025-06-30,第25回,9,菊池部会長,菊池,ありがとうございます。 それでは、堀委員、お願いいたします。,https://www.mhlw.go.jp/stf/newpage_20250707.html
10,2025-06-30,第25回,10,堀委員,堀,ありがとうございます。 このたび、年金改革法案が無事に成立いたしましたこと、心よりうれしく思っております。法案の成立に向けて尽力された事務局の皆様に深く敬意を表しますとともに、多様な意見が交わされる中で、部会を取りまとめられた菊池部会長の御尽力に対しまして、改めて感謝申し上げたいと思います。 さて、本法案は大きな一歩であると同時に、なお幾つかの課題を残しているかと思います。私からは３点申し上げたいと思います。 １点目ですが、附帯決議にありますように、拠出期間の45年間につきましては、引き続き財源も含めて御検討をいただきたく存じます。 また、第２点目、適用拡大につきましては、年金部会の案よりもやや後退しまして、企業規模要件に10年の経過措置が設けられました。この点につきましては、10年と言わず、できるだけ早く実施していただきたく存じます。 最後に３点目、現在、第３号被保険者制度の大半を占める女性の就業環境は、この10年で大きく変化しています。多様な働き方が広がり、就業率も上昇している一方で、制度や社会の批判は依然として旧来の枠組みのままにとどまっていて、結果として子育て世代の女性に過重な負担が集中している現実があります。年金制度の持続可能性を考えるとき、こうした世代への視点は欠かせないと考えます。将来的に、３号制度の見直しや廃止について附帯決議に述べられておりますが、こうしたことが議論される際には、子育て支援の観点を十分に踏まえ、子育て世帯に配慮しながら進めていただきたいと強く願っております。 本法案が、次の世代にとって、希望ある年金制度の礎となることを心より期待しております。 ありがとうございました。,https://www.mhlw.go.jp/stf/newpage_20250707.html
